叹号杀手,captivemgr,tech.evlsoc.captivemgr/tech.evlsoc.captivemgr.MainActivity
Drops,drops,com.languagedrops.drops.international/com.languagedrops.drops.international.MainActivity
Appopsx,appopsx,com.zzzmode.appopsx/com.zzzmode.appopsx.ui.main.MainActivity
Beoplay,beoplay,dk.beoplay.app/dk.shape.beoplay.activities.MainActivity
MiniMetro,mini_metro,nz.co.codepoint.minimetro/com.unity3d.player.UnityPlayerActivity
猫眼,maoyan,com.sankuai.movie/com.sankuai.movie.welcome.Welcome
呆萌PS2模拟器,damon_ps2,com.damonplay.damonps2.free/com.damonplay.damonps2.SplashActivity
Devcheck,devcheck,flar2.devcheck/flar2.devcheck.SplashActivity
